index	Label	Text
332	Personal Hate	নিজেরই যোগ্যতা নাই মিস বাংলাদেশ হওয়ার, আবার আইসে অন্যদের judge করতে। 
409	Political Hate	নির্বাচন কমিশনের নিজস্ব কোনো ক্ষমতা নেই । 
546	Political Hate	কুত্তার বাচ্চা তোর মুখের ভাষা ঠিক কর । তারেক কি বলবে কি বুঝবে । তুই শালা বাটপার । 
70	Personal Hate	যেমনে খারাপ কথা কস...ঘর থেকে বের করে দিবে..
595	Political Hate	পাঁচ বার দুর্নীতিতে বিশ্ব চ্যাম্পিয়ন বিম্পির দালাল পার্থ ( চোরের বেটা) 
48	Personal Hate	তুই মরবি, হাসপাতাল নিয়ে যাবার জন্য সবাই কে ডাকবি কিন্তু কাউকে পাবি না, সবাই ভাববে প্রাংক। 
914	Religious Hate	নাস্তিক ওরা হলো দুনিয়ার ময়লা, আবর্জনা আর নর্দমার কীট 򘐠ভন্ড এক নাম্বার মিথ্যাবাদী 
10	Personal Hate	মোবাইলের দাম কমানো টা ঠিক হয়নাই এই কারনে গরু ছাগলরা মোবাইল কিনে এমন ভাবে বাংলা লেখে 
786	Political Normal	পিলখানা হত্যাকাণ্ডে অফিসারদের ফ্যামিলিকে সরকার ও ব্যাংক ও অন্যান্য সবাই যে অাথির্ক সাপোর্ট দিয়েছে তা নৈতিকভাবে সমথর্নযোগ্য।
312	Personal Hate	মাথার ভেতর কী? পায়খানা?
791	Political Normal	আওয়ামিলীগকে একবার ভোটদিয়ে ভুল করেছি।
964	Religious Hate	সানি তুমিতো বললে কোন ধর্ম বিরুধী না,তাহলে দেখতে পাচ্ছি কুখ্যাত একটা ইসলাম বিরুধী।
234	Personal Hate	খানকির পোলাগো ভাষা দেখো 
899	Religious Hate	বকলম মুসলমানদের যতই বলা হয় আমি নাস্তিক, এরা তত বেশি করে দুর্গা-কালিকে গালি দিবে
1102	Geopoitical Hate	ইন্ডিয়া ইচ্ছে চারালের দেশ 
171	Personal Hate	নাটকের ভালো একজন অভিনেত কে কাকে বললি সালার মাদার চোদ 
1187	Geopoitical Hate	বাংলাদেশের মতো বন্ধু দরকার নেই ইন্ডিয়ার বাংলাদেশে সুধু চোর গুন্ডার আড্ডা 
89	Personal Hate	এই ছাগল টাকে দেখলেই থাবড়াইতে মন চায়। 
470	Political Hate	আরে বেটা মাহি গাবি না কিনে বালতি নিয়া চিন্তা করস 
350	Personal Hate	মদ খা শালারপুতেরা
1339	Gender abusive hate	চুতমারানি তোরে চুদী। কুত্তা দিয়া চোদামু 
1061	Geopoitical Hate	আমার হাতে পতিদিন ভারতেরর মানুষ মার খাই আমি একজন বাংলাদেশি
124	Personal Hate	এই জংলী প্রাণিটার নাম কি।মাথায় আওয়ামি কাউয়ার বাসা।
366	Personal Hate	মাদারচোদ পুটকিতে মরিচ ভইরা দিমু! 
1232	Gender abusive hate	এটা কমিশনার এর মেয়ে খানকিমাগির মেয়ে 
518	Political Hate	শালা চোর এর বাচ্চারা 
1371	Gender abusive hate	তোর ভাষায় বুজাযায় তুই কেমন ঘরের মেয়ে। তোরে পাইলে কুত্তা দিয়া পাল দেওয়াইতাম বেশ্যা 
1032	Geopoitical Hate	অই দেশে এখনো টয়লেট নিয়া প্রচার করে
261	Personal Hate	এই মাগিকে দিয়ে বারা চুসানোর ইচ্ছা করতেছে 
1002	Geopoitical Hate	১৯৭১ সালে নয় মাসে মাত্র ৪০ লক্ষ নারী ধর্ষিতা হয়েছিলেন। এক সাথে থাকলে পুরো চার কোটি নারীর পেটে বাস্টার্ড/বেজন্মা সন্তানে সারা দেশ ভরে যেত।
599	Political Hate	তোদের সকল বিবেক বিসর্জন দিয়ে ই তোরা বিবশ্র লীগয়েই পরিনত হয়ে চিছ শালা শালা ভাদা,! 
294	Personal Hate	বাংলায় ভোদা বললে দোষ আর ইংলিশ এ গুদ শুনতে খুব ভালো লাগে একেবারে মন ভইরা সোনা খারায়া যায় না?
1227	Gender abusive hate	পাচাও দুধ এক নামবার, তুমার জামা কুলে ফেল আরও সুন্দ হবে 
955	Religious Hate	তুই মরলে কুততা দ্বারা কবর দেয়াইস। 
390	Personal Hate	শেষের টা মাথাল 
1057	Geopoitical Hate	ভারতের দালালে দেশটা বরেগেছে ভাই 
118	Personal Hate	ফাক ইউ ব্লাডি সাজু খাদেম। 
821	Religious Hate	এরা মুসলিম স্টেট এ শুয়োরের মতো মুসলিম শোরের বাছা জম্ম দেবে আর অন্য জাগায় কাফের হত্যায় পাঠাবে । 
266	Personal Hate	তুই কি পতিতালয়ে জন্ম্য নিছিস
138	Personal Hate	বালের আবালের মত খালি ইংলিশ মারাও না! 
290	Personal Hate	তোদের ভোদার রস যখন শুকিয়ে যাবে তখন তোদের কুত্তাও চুদবেনা 
1393	Gender abusive hate	সব সালির বোদা দিয়ে ৬ সুতার রড গরম করে দিতে হবে
723	Political Normal	আপনার হাত ধরে আমরা সামনের দিকে এগিয়ে যেতে চাই 
1323	Gender abusive hate	আপু অনেক নিতে পারে। উফ কিভাবে এত ছেলের সাথে পারে? 
846	Religious Hate	বাংলাদেশের মিডিয়া ভারতের হিন্দুদের দালাল..
157	Personal Hate	ফান আর নোংরামীর পার্থক্য আছে যেটা আপনার শিখা উচিৎ।
684	Political Normal	আসল পলিটিশিয়ান তো উপস্থাপক জিলু ভাই
1291	Gender abusive hate	এই সপ বেসসা পোতিতাদের মা বাপ নাই 
448	Political Hate	মাহি তোর মুখে আল্লাহর নাম মানায় না কারণ তো ইসলাম বিদ্বেষী 
866	Religious Hate	ইহুদীরা মানুষ খারাপ, 
1063	Geopoitical Hate	বাস্টার্ড এর বাচ্চা ইন্ডিয়ান। 
415	Political Hate	এই ইসির অধীনে কীভাবে একটি সুষ্ঠু নির্বাচন হবে? 
1165	Geopoitical Hate	সুচিকে জুতা পেটা করে নোবেল কেড়ে নেওয়া উচিত
969	Religious Hate	কুত্তার বাচ্চা বাংলাদেশ সাম্প্রদায়িক দেশ। সামনে আয় তোর সাম্প্রদায়িকতা তোর মায়ের
49	Personal Hate	কি যে আউল ফাউল ইংলিশ বলিস তোরা।বাংলাটাই আগে ঠিক মতো বলা শিখ হারামজাদা
189	Personal Hate	সব গুলা মাদার চুদ। 
305	Personal Hate	ছেলে দুইটাকে ভালো লাগছে কিন্তু মেয়ে টাকে ভালো লাগল না
139	Personal Hate	এগের না চুদে ভাত খাওয়া যাই।
629	Political Normal	আলোচনা করে কীভাবে সুষ্ঠু নির্বাচন করা যায়, সেই ব্যবস্থা করুন।
577	Political Hate	শেখ মুজিব ফেরাউনের বংধর 
609	Political Normal	সবাইকে অতন্দ্র প্রহরীর মতো ষড়যন্ত্রের বিরুদ্ধে সজাগ থাকতে হবে।
1359	Gender abusive hate	এইসসব পতিতা। তোদের মাগী বলবেনা। চুদতে দিছ সবাই রে তো মাগী বলবে না তো কি? 
834	Religious Hate	পাগলে কিনা কয় ছাগলে কিনা খায়,যাদের দেবতা গরু ছাগল হাঁস মুরগি ভেড়া কুত্তা শিয়াল বানর হনুমান হাতি সাপ কেঁচো কৃমি তারা আর কত ভালো হবে
774	Political Normal	আমাদের ভোটের ক্ষমতা চাই। নির্বাচনে ভোট ছাড়া কেউ সরকার না হয়। 
522	Political Hate	বাংলাদেশি জাতীয় বাটপার । 
1004	Geopoitical Hate	পাকিস্তানের মত আবাল দেশের দালালি করে লাভটা কি?
313	Personal Hate	কনডম নিয়ে আইছোতো 
1280	Gender abusive hate	এই খানকি মাগি বেগুন আছে লাগবে 
337	Personal Hate	কথাও বলতে পারে না শালারা
983	Religious Hate	হিন্দুর দেবতারা ত অন্য লোকের বউকে বাচ্চা দেয়, দেখুন মহা ভারত 
185	Personal Hate	বাঙালি হয়ে ইংরেজী বেশি বলাতে লাভ টা কোথায়?? 
790	Political Normal	সরকার বেশী বারাবারি করতেছে। 
1142	Geopoitical Hate	পাইক্কা হারামী নং ওয়ান , এদের জবান ঠিক না । 
793	Political Normal	এসব কাজ একেবারে ঠিক নয়,পুলিশদের বুজার দরকার ছিল যে তাদের ও মা,বোন, ভাই আছে
378	Personal Hate	সাজু শালা এক টা রাম ছাগল। 
32	Personal Hate	মাদারচোদ আর মাগির দল 
583	Political Hate	জিয়া একটা কুওার বাচ্চা মাদার চোদ 
254	Personal Hate	বালের ব্যাকগ্রাউন্ড মিউজিক লাগাইসো 
1221	Gender abusive hate	এই রকম মাগি কত যে আছে 
1080	Geopoitical Hate	ভারত আমাদের দেশের অনেক শত্রু শত্রু শত্রু আমার মনে হয় 
1279	Gender abusive hate	তোর মা ও এই ভাবে ছেলেদের সাথে দুধ গুলা দেখাই দেখাই বিকাশের মাধ্যমে ছেলেদের টাকা খাইত ? 
610	Political Normal	কোনো নীতিমালা বা প্রজ্ঞাপন জারি না করে নির্বাচনের আগে এভাবে বন্দীদের মুক্তি দেওয়া হলে তা নিয়ে প্রশ্ন ওঠাটাই স্বাভাবিক।: নূর খান
808	Religious Hate	বালের পুজা, 
8	Personal Hate	শালা তুই সালমান রিদিয়া আসিফ,সব পাকনা,পাকনা পুলাপাইন।
1208	Gender abusive hate	মাগির পুটকির নিছে কিতা? 
1290	Gender abusive hate	তোকে কুত্তা দিয়ে চুদাবো মাগি 
76	Personal Hate	গরুর হাটের ধোলাই ও মাফ চাওয়াটা কেমন ছিলো!!! আবাল? 
151	Personal Hate	মাইর গুলা কেমন লাগলো৷ বাশ এর বাড়ী 
99	Personal Hate	সৌভিক ভাই আপনার হেয়ার স্টাইল টা কি আপনার গার্লফ্রেন্ড এর থেকে কপি করলেন নাকি 
1239	Gender abusive hate	আহহ উহহ,কতো বড় বড় দুধ খালি ঝোকে মনে হয় ধরি 
219	Personal Hate	হালার গরের হালা বাবা খোর
1166	Geopoitical Hate	পানিতে মমতার ভোদা বরেগেছ তাই বাংলাদেশর দিকে ছেড়ে দিল 
853	Religious Hate	এই মুসলিম দের আতি তারাতারি ভারত থেকে তারাতে হবে।
1169	Geopoitical Hate	সৌদি রাজপরিবার হলো ইয়াজিদের বংশধর। এরা আমেরিকা ও ইসরাইলের দালাল।
1348	Gender abusive hate	এই মাগির তোর ভোদায় এসিড দিমু আমি আমি ছাএলীগ নেতা।
298	Personal Hate	চুল মডেল এইটা। দেখলেই রাগ উঠে।
987	Religious Hate	হিন্দু হয়ে সুসলমান সেজে কথা বলিস । তর মা গরুর চুদা খেয়ে তোকে জন্ম দিছে এটা সত্য না কি মিথ্যে আগে বল ।
702	Political Normal	সে একজন প্রকৃত আইন প্রনেতা 
1130	Geopoitical Hate	জারা প্রবাসে থাকে সুধু তারাই জানে পাকিস্তানিরা কত খারাপ
1211	Gender abusive hate	খানকি মাগি আখি আলমগির 
898	Religious Hate	আগামী ২৫ বৈশাখ থেকে হজরত রবীন্দ্রনাথ ঠাকুর (সালাল্লাহু - লাড়ালাপ্পা) র নামেও ওরশ পালন করিস। 
408	Political Hate	এরা কাজ করতে পারবে না, নির্বাচন করতে পারবে না ।  
508	Political Hate	পার্থ সালার পুত হলো হাসিনার বড় দালাল, পার্থ কে বিএনপির যোট থেকে বাদ দেওয়া হক 
872	Religious Hate	মুর্তিপুজারী,মাজারপুজারী,ভন্ড পীরদের পোদ ফেটে গেছে। 
486	Political Hate	বাল চৌধুরী এতো কথা বলে ক্যান! সরকারের দালাল 
951	Religious Hate	তরে বিচানায় নিয়া খালি পুটকি মারে আমারা জানি,তুই জাহান্নাম মাগি, জাহান্নামির পোলাদের তরে নিয়া জাহান্নামে পুটকি মারবে 
410	Political Hate	যে সরকার ইতিমধ্যে সব প্রতিষ্ঠান দলীয়করণ করেছে, সেই সরকারের ব্যক্তিদের দিয়ে নির্বাচন পরিচালনা অসম্ভব । 
1397	Gender abusive hate	ওই খানকিরে সব ছাএ ভাইয়েরা মিলা ছুদেন তাই নাকি আবার ইয়াবা সেবন করে খানকি 
463	Political Hate	শালা বাসটারড হাসিনার পাও চাটা কুত্তা 
1115	Geopoitical Hate	ভারতে ধর্ষণকারি আছে আছে 100 কোটি, আর মাতাল আছে 120 কোটি 
561	Political Hate	বেয়াদবের বাচ্চা খাম্বা চুরের বাচ্চা 
9	Personal Hate	এসব আবাল গুলা আমাদের সুন্দর বিনোদন থেকে দূরে রাখে। 
905	Religious Hate	মুহম্মদ যখন বাচ্চা মেয়ে আয়েশাকে বিছানায় নিয়ে যায় (এটাকে আমি বিয়ে বলবো না), সেটা লুচ্চামি, সেটা শিশুকামিতা, সেটা ধর্ষণ। 
870	Religious Hate	ইহুদিরা অনেক ভয়ংকর। 
367	Personal Hate	সাজুএই প্রশ্ন্যটা তোর মাকেও বোনদের করিস তো দিক উত্তর পাবি-কারন একই চলিত ভাষা হবে। 
1201	Gender abusive hate	বাংলা দেশের মেয়েরা এতো অনেক খারাপ ছি ছি ছি 
3	Personal Hate	সব মাদার চোদ। সালারা তোদের কাছ থেকে কি শিখব 
1292	Gender abusive hate	তর ভোদার ভিতরে ভালো ভাবে বরে দিমু
1051	Geopoitical Hate	রোহিঙ্গাদের কারনে আমাদের দেশে দিন দিন নিত্য প্রয়োজনীয় পণ্যের দাম বেড়েই চলছে
1276	Gender abusive hate	এই টাকা কি তোর মাকে না বাপ কে ভাই কে বোন কে খাওয়াস মরবি না মাগি 
738	Political Normal	ব্যারিস্টার আলতা তো রহমান পার্থ উনি একজন অসাধারণ লোক উনার মতন লোক দেশের নেতৃত্ব প্রয়োজন
1235	Gender abusive hate	হায়রে মাগি কেমন করে । 
303	Personal Hate	শালীর কন্ঠ গাবীন গরুর মত
123	Personal Hate	প্লিজ কেউ কন্ড়ম চারা ওরে চুদবেন্না
449	Political Hate	মাহির আচরণে ছাগলের ৩ নাম্বার বাচ্চার মত লাগছে । 
644	Political Normal	একটি দল ৭ দফা দিয়েছে (জাতীয় ঐক্যফ্রন্ট)। সরকার তা মানতে রাজি নয়।
220	Personal Hate	ইউটিউবার দেখছি এমন বক্সচুদ ইউটিউবার তো দেখি নাই কখনো।
205	Personal Hate	তোদের তো চুদেই তো টাকা দেয়।
239	Personal Hate	কয়দিন পর চুদতে চুদতে বলবে তারা ফান করছে
371	Personal Hate	তরা পমান করলি তরা বাংলা মাগি 
1153	Geopoitical Hate	যারা স্বেচ্ছায় পাকিদের দ্বারা গর্ভবতী হয়েছিল তাদের সন্তানেরা এখনো বাবা বাবা চিৎকার দেয়।
596	Political Hate	আর কত অপমানিত হলে টকশো তে আসা বন্ধ করে দিবি আওয়ামী রেজা । 
1318	Gender abusive hate	মাগি খানকি তোর কি মা, বাবা, ভাই,বোন নাই মাগি 
879	Religious Hate	আল্লাহ এই হুজুরকে হেদায়েত দেন ছাগল হুজুর । 
186	Personal Hate	শুকারের বাচ্চার লিঙ্গ কেটে 100ভাগ করব। 
976	Religious Hate	তুই একটা ফেরাওন অামি অাইতাছি তর কাছে তুই রেডি থাকিস 
654	Political Normal	ক্ষমতায় যাওয়ার জন্য যা যা করা দরকার, তা করতে হবে। 
260	Personal Hate	তোরাই সমাজ নস্ট করিস,
458	Political Hate	মাহি যে একটা বড় মাপের টাউট তা তার ক্ষিপ্ত ভাষা থেকেই বুঝা যায় । 
726	Political Normal	সব কিছুতে বঙ্গবন্ধু পরিবার ও আওয়ামীলীগ এগিয়ে, জয় বাংলা জয় বঙ্গবন্ধু, 
88	Personal Hate	তুই ইউটিউব থেকে বিদায় নেস না কেন.. 
1294	Gender abusive hate	পুরা বেশ্যা মাগী 
455	Political Hate	ঐক্যটাকে ধ্বংস করছে শয়তান মইনুল ইসলাম । 
1272	Gender abusive hate	আস্তাো একটা খানকি মাগি টাকা কামানোর ধান্ধা 
200	Personal Hate	সনিকা যে একতা মাগি তা আপনার শো তে এসে প্রকাশ করল ।
857	Religious Hate	আসামের রোহিঙ্গা মুসলমানদের তারিয়ে দেওয়া হোক কারণ এরা ভারতের মানুষ নয় 
1154	Geopoitical Hate	পাকিস্তান একটা মাদারচোদ দেশ। শুয়োরের বাচ্চা সবগুলো। তার চেয়ে বেশি শুয়োরখোর ইন্ডিয়ান রা। 
50	Personal Hate	ভাই বাংলাদেশের যে এত্ত শিল্পীর উদয় হইছে আজ জানলাম।
1046	Geopoitical Hate	বাংলাদেশ। পাকিস্তান। এক।সাতে।থাকলে।বাংগালীদের।দামে দিত।না।তারা। 
1012	Geopoitical Hate	ভারত যেন বাংলাদেশের কোনো ব্যাপারে নাক না গলা, কেননা ভারত বাংলাদেশকে কখনো ভালো চায় না
297	Personal Hate	এর যদি ভিডিও বাহির হয়,প্রভার চেয়ে ও বেশি চিল্লাই বো,
152	Personal Hate	খানকি মাগি নডির পুলা মায়ের সামনে ভিডিও চালু করসিলাম আর তর বালের আহ সাইন্ড আইসা পরল।
598	Political Hate	আওয়ামী মানে ভারতের চামচা । আর হাসিনা হল ভারতের বউ । 
1098	Geopoitical Hate	আর ৫০ বছর পর পাকিস্তান নামে কোন দেশ থাকবে না। 
34	Personal Hate	আজাইরা আলাপ কম কইরা পারলে ভালা কিছু নিয়া কথা কইয়া দেখাইও ফাউল মিয়া
411	Political Hate	কমিশন সচিবের কথা শুনলে মনে হয়, তিনিই প্রধান নির্বাচন কর্মকর্তা । 
140	Personal Hate	এই ছামারের বাচ্ছারা, এটাকি ফ্যামেলি নিয়ে দেখার মত ভিডিও
373	Personal Hate	মাদারচোদ হোল তুইলা নিয়া আইসস
1075	Geopoitical Hate	ইন্ডিয়া আগ্রাসী
541	Political Hate	তোর মা তো যুদ্ধের সময় পাকস্তানে ভালোই আরাম আয়েশ করেছে । 
143	Personal Hate	তোমার দুধ বড় কেনো.
787	Political Normal	সবকিছুর শুরু এবং শেষ আছে এর জবাব একদিন দিতেই হবে 
820	Religious Hate	ইসলামে মারে চুদেছে ইসলামে মারে নাভি চুদা ভোদা দুদু ভোদা দুদু চুদি তোদের মাহিলাদের 
678	Political Normal	আওয়ামীলীগের নেতারা আপনাকে না চিনলেও তৃণমূল আওয়ামীলীগ আপনার সাথে আছে। 
1181	Geopoitical Hate	দেখ, তোদের ভাই ফাকিস্তানের কি অবস্থা আজ।
1265	Gender abusive hate	এই মহিলার যউনাংগে ছুরি ডুকিয়ে মেরে ফেলা উচিত 
53	Personal Hate	এই বাইনচোদ টা কেমনে ক্যামেরার সামনে আসে,গরু পিটানো লাঠির মাইর খাইয়া হয় নাই!!? 
687	Political Normal	ডঃ কামাল সাহেব বঙ্গবন্ধুর আদর্শ লালন করেন
1132	Geopoitical Hate	তুমি পাকিস্তানের রাজাকার নাকি ভাই এদের মতু লোচ্চা আর কোনু দেশ নাই। 
1284	Gender abusive hate	কি আমাদের দেশ বসুন্ধরা তারি মাঝে এই খানকি মাগি হইছে আচুদা, চোদা নেওয়ার শখ বাড়ছে কুত্তা দিয়া চুদা নে চুতমারানি। 
98	Personal Hate	পারে না কথা বলতে এর আবার উপস্থাপনা করে।
1189	Geopoitical Hate	ভারত কাফের বাংলা। পানি ছেরে দায়, যার করনে ভেসে যায় ও বন্যা হয়। 
427	Political Hate	মাহির কথায় বুঝা যায় যে এই ফোন আলাপ সাজানো এবং সরকারের নির্দেষ অনুযায়ী 
1372	Gender abusive hate	এ তোর মার চুদি, তোর চোদবো আর আওয়ামীলীগের সমস্ত নেতা দিয়ে চোদাবো।
105	Personal Hate	যতসব নোংরা বেপার উপস্থাপন করে।
965	Religious Hate	দুর সালা মালায়ুন পাগল 
674	Political Normal	রনি ভাই আওমীলীগ নিয়ে আপনি কথা বলেছেন এর আগে
1000	Geopoitical Hate	১৯৭১ এ ভারত সাহায্য না করলে আজকে এই বাংলা ভাষায় কথা বলতে পারতি না, ফাকিস্তানের পা চাটতি।
27	Personal Hate	ভাই তোমারে তো চুরের মত লাগে.
237	Personal Hate	লুচ্চা খানকির পুলা
690	Political Normal	শেখ মুজিবের কথা এতই বলেন তা হলে জোট করছেন কার সাথে
402	Political Hate	মইনুল রাজনৈতিকভাবে চরিত্রহীন
39	Personal Hate	ভাই এগুলারে পাবনার মানসিক হাসপাতালে ভর্তি করানো উচিত। 
421	Political Hate	জাতীয় ঐক্য প্রক্রিয়া থেকে ছিটকে পড়ে মাহি'র চুলকানী শুরু হয়ে গেছে । 
1052	Geopoitical Hate	ভারত মানে হচ্ছে সার্থপর। 
906	Religious Hate	ইসলাম অনুসারে, ৭২টি হুরের সঙ্গে চব্বিশঘন্টা সেক্স করার জন্য জান্নাতি পুরুষদের লিঙ্গ সব-সময় শক্ত ও খাড়া হয়ে থাকবে I 
394	Personal Hate	কানকির পুত এইকতা তোর মাকে আমি বলতে চাই 
770	Political Normal	আমি শুধু বলতে চাই মুজিব এর পরে এক মাত্র যোগ্য নেতা পার্থ যদি ও দুই জন দুই দলের 
433	Political Hate	বাপ বেটারে আরো আগে লাতি দেওয়া উচিৎ ছিল 
221	Personal Hate	ফেমিলি সো শালার তোর ভিডিওর শুরুতে আহ সাউন্ড।
880	Religious Hate	এই শালা কে কি কুত্তা পয়দা করছিল নাকি শয়তান পয়দা করছিল সালায় কয় কি
768	Political Normal	আন্দালিব রহমান পার্থ বাংলাদেশে একজনই আছে। শুধু এইটুকু বলবো। 
250	Personal Hate	সেক্স কোরে তার পর ভিডিও দে লাইভ এসে!! 
117	Personal Hate	সাজু কুত্তার বাচ্চা ওর জন্ম পতিতালয়ে ।মাদারচোদ 
1310	Gender abusive hate	মাগি তর কি বড় ভাই নাই। তার সাথে ও ত খারাপ কাজ করতে পারিস 
182	Personal Hate	তুই তো কারো পায়ের জুতো হওয়ার ও যোগ্য না আর ভাব লস ?
1387	Gender abusive hate	তুর মেয়ে,মাগী চোদার কামাই।
1145	Geopoitical Hate	মিয়ানমার কুত্তার বাচ্চা গুলারে শিখ্যা দিতে আমরা বেশামরিক লোকই যতেস্ট। 
